Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,4,155,4894,3847,1015,605,0.6,0.346,0.688,31.6,24.8,6.5,3.9,18.4,0.181,4.8,8.4
2,2,MEM,Ja Morant,Murray State,5,257,8282,5783,1243,1903,0.472,0.318,0.755,32.2,22.5,4.8,7.4,20.5,0.119,2.8,10.1
3,3,NYK,RJ Barrett,Duke,5,312,10387,5693,1685,886,0.429,0.344,0.716,33.3,18.2,5.4,2.8,10.4,0.048,-2.3,-0.6
4,4,LAL,De'Andre Hunter,Virginia,5,234,7200,3267,964,356,0.447,0.361,0.809,30.8,14,4.1,1.5,6.5,0.043,-3.3,-2.4
5,5,CLE,Darius Garland,Vanderbilt,5,275,9295,5102,711,1820,0.45,0.383,0.869,33.8,18.6,2.6,6.6,15,0.077,-0.2,4.1
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,5,320,9078,4378,1147,1146,0.429,0.373,0.844,28.4,13.7,3.6,3.6,12.5,0.066,-1.6,0.9
8,8,ATL,Jaxson Hayes,Texas,5,282,4488,1950,1045,186,0.627,0.275,0.713,15.9,6.9,3.7,0.7,15,0.16,-0.3,1.9
9,9,WAS,Rui Hachimura,Gonzaga,5,248,6530,3049,1189,317,0.482,0.355,0.767,26.3,12.3,4.8,1.3,8.7,0.064,-2.5,-0.9
10,10,ATL,Cam Reddish,Duke,5,208,5118,2020,597,274,0.4,0.324,0.837,24.6,9.7,2.9,1.3,2.6,0.024,-3.1,-1.5
11,11,MIN,Cameron Johnson,UNC,5,265,6759,3106,1033,437,0.449,0.394,0.828,25.5,11.7,3.9,1.6,16.8,0.119,1.3,5.6
12,12,CHO,P.J. Washington,Kentucky,5,304,9147,3946,1661,703,0.45,0.359,0.711,30.1,13,5.5,2.3,11.2,0.059,-1.3,1.7
13,13,MIA,Tyler Herro,Kentucky,5,274,8703,4940,1351,987,0.439,0.386,0.871,31.8,18,4.9,3.6,11.7,0.064,-0.1,4.1
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2,0.043,-3.4,-0.8
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,4,172,3771,1180,695,273,0.386,0.321,0.786,21.9,6.9,4,1.6,4.5,0.058,-1,1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,5,268,5120,2175,612,583,0.4,0.344,0.717,19.1,8.1,2.3,2.2,4.1,0.038,-1.8,0.3
18,18,IND,Goga Bitadze,,5,229,3030,1187,820,221,0.514,0.249,0.678,13.2,5.2,3.6,1,8.7,0.137,0.1,1.6
19,19,SAS,Luka Šamani?,,4,66,657,273,149,40,0.42,0.267,0.672,10,4.1,2.3,0.6,0.1,0.011,-5,-0.5
20,20,BOS,Matisse Thybulle,Washington,5,315,6569,1499,615,326,0.44,0.34,0.676,20.9,4.8,2,1,12.7,0.093,0.7,4.4
21,21,OKC,Brandon Clarke,Gonzaga,4,237,5051,2534,1325,334,0.604,0.29,0.705,21.3,10.7,5.6,1.4,19.9,0.189,2.8,6.1
22,22,BOS,Grant Williams,Tennessee,5,335,7343,2156,1162,422,0.444,0.378,0.769,21.9,6.4,3.5,1.3,13.2,0.087,-1.9,0.1
23,23,UTA,Darius Bazley,,4,228,5384,2065,1216,275,0.411,0.31,0.673,23.6,9.1,5.3,1.2,2.8,0.025,-2.5,-0.6
24,24,PHI,Ty Jerome,Virginia,5,159,2748,1108,294,411,0.421,0.352,0.826,17.3,7,1.8,2.6,3.9,0.069,-1.6,0.3
25,25,POR,Nassir Little,UNC,5,221,3660,1286,675,167,0.453,0.331,0.735,16.6,5.8,3.1,0.8,4.7,0.062,-2.5,-0.5
26,26,CLE,Dylan Windler,Belmont,4,90,998,288,199,71,0.42,0.335,0.8,11.1,3.2,2.2,0.8,1.4,0.069,-1.4,0.2
27,27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,0.383,0.301,0.852,6.9,2.6,1.5,0.3,0.4,0.055,-3.6,-0.2
28,28,GSW,Jordan Poole,Michigan,5,314,8395,4956,805,1080,0.419,0.333,0.877,26.7,15.8,2.6,3.4,9,0.051,-2.3,-0.7
29,29,SAS,Keldon Johnson,Kentucky,5,271,8148,4472,1521,624,0.465,0.358,0.756,30.1,16.5,5.6,2.3,12.3,0.072,-1.3,1.5
30,30,MIL,Kevin Porter Jr.,USC,4,196,5928,3008,842,987,0.431,0.357,0.725,30.2,15.3,4.3,5,4,0.032,-1.6,0.7
31,31,BRK,Nic Claxton,Georgia,5,210,5219,2143,1590,309,0.668,0.176,0.547,24.9,10.2,7.6,1.5,19.2,0.177,1.9,5.1
32,32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,0.409,0.286,0.667,9.8,2.3,1.5,0.5,1,0.05,-4.7,-0.7
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,5,173,1607,586,502,103,0.526,0.125,0.629,9.3,3.4,2.9,0.6,2.2,0.066,-3.5,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,0.326,0.355,1,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,5,196,4220,1166,687,433,0.447,0.324,0.645,21.5,5.9,3.5,2.2,6,0.069,-1.6,0.4
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,5,292,5640,2472,1538,271,0.703,0,0.673,19.3,8.5,5.3,0.9,21.7,0.185,1,4.3
39,39,NOP,Alen Smailagi?,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3086,1552,509,214,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5,0.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,4,120,1334,412,205,75,0.416,0.318,0.782,11.1,3.4,1.7,0.6,1.1,0.04,-4.8,-0.9
43,43,MIN,Jaylen Nowell,Washington,5,193,3293,1718,415,359,0.445,0.316,0.801,17.1,8.9,2.2,1.9,4.8,0.07,-1.9,0.1
44,44,MIA,Bol Bol,Oregon,5,137,1951,829,508,94,0.542,0.297,0.741,14.2,6.1,3.7,0.7,2.9,0.071,-1.1,0.4
45,45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,0.485,0.351,0.675,18.9,7.7,4.4,1.4,4,0.068,-2.3,-0.2
46,46,ORL,Talen Horton-Tucker,Iowa State,5,228,4884,2258,658,722,0.427,0.289,0.774,21.4,9.9,2.9,3.2,4.7,0.046,-1.9,0.1
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,0.416,0.315,0.686,13.1,5,1.9,0.9,0.4,0.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,5,314,6909,2492,1136,627,0.495,0.369,0.783,22,7.9,3.6,2,16.3,0.114,-0.7,2.2
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,0.457,0.38,0.833,6.7,2.7,1.3,0.7,0.6,0.108,0,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,5,229,4291,1625,790,270,0.455,0.332,0.778,18.7,7.1,3.4,1.2,5.7,0.063,-2.9,-1
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
